t	v
0	-56.422
0.001	-56.384
0.002	-56.363
0.003	-56.433
0.004	-56.472
0.005	-56.43
0.006	-56.503
0.007	-56.52
0.008	-56.476
0.009	-56.452
0.01	-56.449
0.011	-56.491
0.012	-56.546
0.013	-56.553
0.014	-56.585
0.015	-56.759
0.016	-56.862
0.017	-56.871
0.018	-56.872
0.019	-56.953
0.02	-57.028
0.021	-57.076
0.022	-57.071
0.023	-57.108
0.024	-56.925
0.025	-56.852
0.026	-56.51
0.027	-56.284
0.028	-56.11
0.029	-55.989
0.03	-55.991
0.031	-55.989
0.032	-55.947
0.033	-56.05
0.034	-55.97
0.035	-55.871
0.036	-55.444
0.037	-53.111
0.038	-50.807
0.039	-50.789
0.04	-51.632
0.041	-52.322
0.042	-52.991
0.043	-53.465
0.044	-53.804
0.045	-54.126
0.046	-54.5
0.047	-54.855
0.048	-55.072
0.049	-55.455
0.05	-55.733
0.051	-55.955
0.052	-56.106
0.053	-56.349
0.054	-56.488
0.055	-56.592
0.056	-56.774
0.057	-56.889
0.058	-56.945
0.059	-56.932
0.06	-57.031
0.061	-56.976
0.062	-57.017
0.063	-56.931
0.064	-56.909
0.065	-56.727
0.066	-56.659
0.067	-56.604
0.068	-56.781
0.069	-56.783
0.07	-56.83
0.071	-56.785
0.072	-56.644
0.073	-56.42
0.074	-56.324
0.075	-56.157
0.076	-56.064
0.077	-56.083
0.078	-56.051
0.079	-56.057
0.08	-56.188
0.081	-56.313
0.082	-56.405
0.083	-56.553
0.084	-56.759
0.085	-56.806
0.086	-56.936
0.087	-56.982
0.088	-57.047
0.089	-57.129
0.09	-57.177
0.091	-57.169
0.092	-57.138
0.093	-57.119
0.094	-57.142
0.095	-57.189
0.096	-57.218
0.097	-57.284
0.098	-57.309
0.099	-57.42
0.1	-57.473
0.101	-57.483
0.102	-57.501
0.103	-57.626
0.104	-57.441
0.105	-57.247
0.106	-57.002
0.107	-56.77
0.108	-56.49
0.109	-56.232
0.11	-56.019
0.111	-55.74
0.112	-55.742
0.113	-55.652
0.114	-55.719
0.115	-55.76
0.116	-55.926
0.117	-56.046
0.118	-56.039
0.119	-56.217
0.12	-56.198
0.121	-56.244
0.122	-56.272
0.123	-56.34
0.124	-56.351
0.125	-56.233
0.126	-56.319
0.127	-56.292
0.128	-56.256
0.129	-56.32
0.13	-56.333
0.131	-56.517
0.132	-56.591
0.133	-56.657
0.134	-56.765
0.135	-56.825
0.136	-56.945
0.137	-56.86
0.138	-56.909
0.139	-56.867
0.14	-56.824
0.141	-56.671
0.142	-56.38
0.143	-56.139
0.144	-55.763
0.145	-55.467
0.146	-55.092
0.147	-53.884
0.148	-51.094
0.149	-50.201
0.15	-51.095
0.151	-52.039
0.152	-52.802
0.153	-53.39
0.154	-53.768
0.155	-54.221
0.156	-54.461
0.157	-54.751
0.158	-54.955
0.159	-55.095
0.16	-55.282
0.161	-55.325
0.162	-55.481
0.163	-55.671
0.164	-55.876
0.165	-55.983
0.166	-56.215
0.167	-56.417
0.168	-56.549
0.169	-56.71
0.17	-56.838
0.171	-56.944
0.172	-56.965
0.173	-57.043
0.174	-57.044
0.175	-57.021
0.176	-57.108
0.177	-57.083
0.178	-57.074
0.179	-56.999
0.18	-56.829
0.181	-56.602
0.182	-56.291
0.183	-56.096
0.184	-55.866
0.185	-55.74
0.186	-55.873
0.187	-55.882
0.188	-55.833
0.189	-55.94
0.19	-56.082
0.191	-56.126
0.192	-56.191
0.193	-56.27
0.194	-56.293
0.195	-56.458
0.196	-56.496
0.197	-56.509
0.198	-56.668
0.199	-56.839
0.2	-56.931
