t,v
0,-64.396
0.001,-64.412
0.002,-64.618
0.003,-64.634
0.004,-64.702
0.005,-64.749
0.006,-64.819
0.007,-64.941
0.008,-64.978
0.009,-65.112
0.01,-64.973
0.011,-64.885
0.012,-64.802
0.013,-64.723
0.014,-64.667
0.015,-64.49
0.016,-64.386
0.017,-64.41
0.018,-64.436
0.019,-64.591
0.02,-64.7
0.021,-64.71
0.022,-64.763
0.023,-64.815
0.024,-65.02
0.025,-64.974
0.026,-64.866
0.027,-64.822
0.028,-64.709
0.029,-64.658
0.03,-64.59
0.031,-64.468
0.032,-64.391
0.033,-64.359
0.034,-64.392
0.035,-64.462
0.036,-64.394
0.037,-64.588
0.038,-64.588
0.039,-64.614
0.04,-64.756
0.041,-64.97
0.042,-64.902
0.043,-64.745
0.044,-64.634
0.045,-64.626
0.046,-64.534
0.047,-64.506
0.048,-64.476
0.049,-64.244
0.05,-64.267
0.051,-64.364
0.052,-64.453
0.053,-64.437
0.054,-64.47
0.055,-64.669
0.056,-64.65
0.057,-64.793
0.058,-64.792
0.059,-64.861
0.06,-64.727
0.061,-64.61
0.062,-64.561
0.063,-64.462
0.064,-64.442
0.065,-64.366
0.066,-64.23
0.067,-64.235
0.068,-64.383
0.069,-64.454
0.07,-64.473
0.071,-64.461
0.072,-64.487
0.073,-64.673
0.074,-64.764
0.075,-64.737
0.076,-64.66
0.077,-64.568
0.078,-64.533
0.079,-64.471
0.08,-64.392
0.081,-64.368
0.082,-64.205
0.083,-64.189
0.084,-64.26
0.085,-64.286
0.086,-64.32
0.087,-64.377
0.088,-64.468
0.089,-64.625
0.09,-64.603
0.091,-64.735
0.092,-64.745
0.093,-64.56
0.094,-64.6
0.095,-64.475
0.096,-64.431
0.097,-64.342
0.098,-64.241
0.099,-64.113
0.1,-64.041
0.101,-64.196
0.102,-64.167
0.103,-64.213
0.104,-64.285
0.105,-64.388
0.106,-64.455
0.107,-64.512
0.108,-64.648
0.109,-64.573
0.11,-64.373
0.111,-64.51
0.112,-64.292
0.113,-64.214
0.114,-64.168
0.115,-64.061
0.116,-63.935
0.117,-63.995
0.118,-64.105
0.119,-64.071
0.12,-64.102
0.121,-64.185
0.122,-64.245
0.123,-64.403
0.124,-64.633
0.125,-64.623
0.126,-64.524
0.127,-64.326
0.128,-64.217
0.129,-64.303
0.13,-64.137
0.131,-64.083
0.132,-63.973
0.133,-63.9
0.134,-64.035
0.135,-64.104
0.136,-64.098
0.137,-64.209
0.138,-64.225
0.139,-64.283
0.14,-64.301
0.141,-64.495
0.142,-64.618
0.143,-64.353
0.144,-64.303
0.145,-64.231
0.146,-64.221
0.147,-64.089
0.148,-63.992
0.149,-63.88
0.15,-63.793
0.151,-63.884
0.152,-64.112
0.153,-64.087
0.154,-64.198
0.155,-64.119
0.156,-64.251
0.157,-64.383
0.158,-64.421
0.159,-64.386
0.16,-64.293
0.161,-64.246
0.162,-64.305
0.163,-64.203
0.164,-64.1
0.165,-63.945
0.166,-63.737
0.167,-63.816
0.168,-63.832
0.169,-63.987
0.17,-64.095
0.171,-64.106
0.172,-64.142
0.173,-64.261
0.174,-64.339
0.175,-64.366
0.176,-64.311
0.177,-64.187
0.178,-64.127
0.179,-64.032
0.18,-64.042
0.181,-64.015
0.182,-63.831
0.183,-63.778
0.184,-63.842
0.185,-63.906
0.186,-63.963
0.187,-64.006
0.188,-64.029
0.189,-64.059
0.19,-64.237
0.191,-64.379
0.192,-64.307
0.193,-64.253
0.194,-64.149
0.195,-64.052
0.196,-64.028
0.197,-63.852
0.198,-63.889
0.199,-63.654
0.2,-63.731
0.201,-63.863
0.202,-63.852
0.203,-63.976
0.204,-63.99
0.205,-64.035
0.206,-64.12
0.207,-64.193
0.208,-64.286
0.209,-64.178
0.21,-64.017
0.211,-64.067
0.212,-63.937
0.213,-63.917
0.214,-63.809
0.215,-63.662
0.216,-63.533
0.217,-63.553
0.218,-63.671
0.219,-63.734
0.22,-63.676
0.221,-63.875
0.222,-63.852
0.223,-63.967
0.224,-64.107
0.225,-64.054
0.226,-64.048
0.227,-63.917
0.228,-63.864
0.229,-63.791
0.23,-63.688
0.231,-63.655
0.232,-63.509
0.233,-63.446
0.234,-63.417
0.235,-63.564
0.236,-63.629
0.237,-63.673
0.238,-63.72
0.239,-63.717
0.24,-63.797
0.241,-63.967
0.242,-63.898
0.243,-63.792
0.244,-63.726
0.245,-63.675
